id,concept,foil,question,answer_for_concept,answer_for_foil,drafter_note,R1_both_answers_correct,R1_unambiguous,R1_comment,R2_both_answers_correct,R2_unambiguous,R2_comment,resolution
P001,animals/bee,tools/saw,Can it fly through the air?,yes,no,,,,,,,,
P002,tools/saw,animals/bee,Is it a living thing?,no,yes,,,,,,,,
P003,animals/bee,tools/saw,Does it have a metal blade?,no,yes,,,,,,,,
P004,animals/cat,materials/wood,Does it come from trees?,no,yes,,,,,,,,
P005,materials/wood,animals/cat,Can it be burned as fuel?,yes,no,,,,,,,,
P006,materials/wood,animals/cat,Can it make a purring sound?,no,yes,,,,,,,,
P007,animals/deer,body parts/toe,Can it run fast?,yes,no,,,,,,,,
P008,body parts/toe,animals/deer,Does it have four legs?,no,yes,,,,,,,,
P009,animals/dolphin,foods/pasta,Is it cooked in boiling water?,no,yes,,,,,,,,
P010,foods/pasta,animals/dolphin,Is it made from dough?,yes,no,Dried pasta is extruded dough; check readers accept 'dough' for boxed pasta.,,,,,,,
P011,animals/dolphin,foods/pasta,Can it swim through water?,yes,no,,,,,,,,
P012,animals/fox,vehicles/scooter,Does it have a tail?,yes,no,,,,,,,,
P013,vehicles/scooter,animals/fox,Does it hunt small prey?,no,yes,,,,,,,,
P014,vehicles/scooter,animals/fox,Can you ride on it?,yes,no,,,,,,,,
P015,animals/frog,instruments/violin,Does it have strings?,no,yes,,,,,,,,
P016,instruments/violin,animals/frog,Is it played with a bow?,yes,no,"Pizzicato exists, but the bow is the defining way of playing.",,,,,,,
P017,animals/frog,instruments/violin,Can it jump off the ground?,yes,no,,,,,,,,
P018,instruments/violin,animals/frog,Does it eat insects?,no,yes,Foil answer assumes an adult frog (tadpoles graze on plants).,,,,,,,
P019,animals/lion,foods/egg,Does it have claws?,yes,no,,,,,,,,
P020,foods/egg,animals/lion,Does it eat meat?,no,yes,,,,,,,,
P021,animals/lion,foods/egg,Does it have a yolk inside?,no,yes,,,,,,,,
P022,foods/egg,animals/lion,Does it have a shell?,yes,no,,,,,,,,
P023,animals/mouse,body parts/lung,Is it found inside the human body?,no,yes,,,,,,,,
P024,body parts/lung,animals/mouse,Does it fill with air when you breathe in?,yes,no,,,,,,,,
P025,animals/mouse,body parts/lung,Does it have a tail?,yes,no,"Answer assumes the animal sense (the concept), not a computer mouse.",,,,,,,
P026,body parts/ankle,materials/leather,Can it be sprained?,yes,no,,,,,,,,
P027,materials/leather,body parts/ankle,Is it connected to the foot?,no,yes,,,,,,,,
P028,body parts/ankle,materials/leather,Can it be made into a belt?,no,yes,,,,,,,,
P029,materials/leather,body parts/ankle,Can it be made into a jacket?,yes,no,,,,,,,,
P030,body parts/chin,tools/hammer,Is it used to drive nails?,no,yes,,,,,,,,
P031,tools/hammer,body parts/chin,Does it have a handle?,yes,no,,,,,,,,
P032,tools/hammer,body parts/chin,Is it just below the mouth?,no,yes,,,,,,,,
P033,body parts/elbow,instruments/recorder,Does it let the arm bend?,yes,no,,,,,,,,
P034,instruments/recorder,body parts/elbow,Is it part of the arm?,no,yes,,,,,,,,
P035,body parts/elbow,instruments/recorder,Is it played by blowing?,no,yes,,,,,,,,
P036,body parts/finger,foods/steak,Is it sold at a butcher's shop?,no,yes,,,,,,,,
P037,foods/steak,body parts/finger,Can it be cooked and eaten?,yes,no,,,,,,,,
P038,body parts/hip,materials/granite,Does it help a person walk?,yes,no,,,,,,,,
P039,materials/granite,body parts/hip,Can it be replaced with an artificial joint?,no,yes,,,,,,,,
P040,body parts/hip,materials/granite,Is it dug out of the ground?,no,yes,Foil answer: granite is quarried.,,,,,,,
P041,body parts/skull,countries/Greece,Does it have a coastline?,no,yes,,,,,,,,
P042,countries/Greece,body parts/skull,Does it have a government?,yes,no,,,,,,,,
P043,body parts/skull,countries/Greece,Does it protect the brain?,yes,no,,,,,,,,
P044,countries/Austria,tools/clamp,Does it have a capital city?,yes,no,,,,,,,,
P045,tools/clamp,countries/Austria,Does it have a government?,no,yes,,,,,,,,
P046,countries/Canada,instruments/bell,Does it ring when you hit it?,no,yes,,,,,,,,
P047,instruments/bell,countries/Canada,Does it make a sound when hit?,yes,no,,,,,,,,
P048,countries/Denmark,materials/nylon,Does it have a king or queen?,yes,no,Denmark is a constitutional monarchy (King Frederik X since 2024).,,,,,,,
P049,materials/nylon,countries/Denmark,Does it have a coastline?,no,yes,,,,,,,,
P050,countries/Denmark,materials/nylon,Is it made in factories?,no,yes,Foil answer: nylon is a synthetic fibre produced industrially.,,,,,,,
P051,countries/Iraq,vehicles/train,Does it run on rails?,no,yes,,,,,,,,
P052,vehicles/train,countries/Iraq,Can it carry passengers?,yes,no,,,,,,,,
P053,countries/Iraq,vehicles/train,Does it have deserts?,yes,no,Check readers find this immediate (western and southern Iraq are desert).,,,,,,,
P054,countries/Jamaica,materials/velvet,Is it surrounded by sea?,yes,no,,,,,,,,
P055,materials/velvet,countries/Jamaica,Does it have a warm climate?,no,yes,,,,,,,,
P056,countries/Jamaica,materials/velvet,Does it feel soft to the touch?,no,yes,,,,,,,,
P057,materials/velvet,countries/Jamaica,Can it be sewn into clothing?,yes,no,,,,,,,,
P058,countries/Kenya,vehicles/ferry,Does it float on water?,no,yes,,,,,,,,
P059,vehicles/ferry,countries/Kenya,Can it carry passengers across water?,yes,no,,,,,,,,
P060,countries/Kenya,vehicles/ferry,Does it have mountains?,yes,no,,,,,,,,
P061,countries/Nigeria,foods/apple,Does it have a large human population?,yes,no,,,,,,,,
P062,foods/apple,countries/Nigeria,Does it have a government?,no,yes,,,,,,,,
P063,foods/banana,instruments/triangle,Is it made of metal?,no,yes,,,,,,,,
P064,instruments/triangle,foods/banana,Does it have three sides?,yes,no,The instrument has one open corner; check readers still say yes without hesitating.,,,,,,,
P065,foods/banana,instruments/triangle,Does it have a peel?,yes,no,,,,,,,,
P066,foods/cheese,tools/screw,Is it made from milk?,yes,no,,,,,,,,
P067,tools/screw,foods/cheese,Can it be eaten?,no,yes,,,,,,,,
P068,foods/cheese,tools/screw,Is it used to fasten things together?,no,yes,,,,,,,,
P069,foods/mango,materials/marble,Is it too hard to bite into?,no,yes,,,,,,,,
P070,materials/marble,foods/mango,Is it used to make statues?,yes,no,"Assumes the stone sense (the concept), not toy glass marbles.",,,,,,,
P071,foods/mango,materials/marble,Does it have a large seed inside?,yes,no,,,,,,,,
P072,foods/sushi,vehicles/van,Does it contain rice?,yes,no,,,,,,,,
P073,vehicles/van,foods/sushi,Can it be eaten?,no,yes,,,,,,,,
P074,foods/sushi,vehicles/van,Does it have doors?,no,yes,,,,,,,,
P075,vehicles/van,foods/sushi,Can it be driven on roads?,yes,no,,,,,,,,
P076,instruments/flute,vehicles/wagon,Does it have wheels?,no,yes,,,,,,,,
P077,vehicles/wagon,instruments/flute,Does it have wheels?,yes,no,,,,,,,,
P078,instruments/flute,vehicles/wagon,Is it played by blowing?,yes,no,,,,,,,,
P079,instruments/sax,tools/mop,Does it have a reed?,yes,no,Needs the fact that the saxophone is a single-reed instrument; readers should confirm it is common knowledge.,,,,,,,
P080,tools/mop,instruments/sax,Can you play a melody on it?,no,yes,,,,,,,,
P081,instruments/sax,tools/mop,Is it used for cleaning floors?,no,yes,,,,,,,,
P082,tools/mop,instruments/sax,Does it soak up water?,yes,no,,,,,,,,
P083,instruments/trumpet,vehicles/submarine,Can it travel underwater?,no,yes,,,,,,,,
P084,vehicles/submarine,instruments/trumpet,Does it carry a crew?,yes,no,Uncrewed underwater drones exist; the concept's description is a crewed submarine.,,,,,,,
P085,instruments/trumpet,vehicles/submarine,Is it played by blowing?,yes,no,,,,,,,,
P086,vehicles/submarine,instruments/trumpet,Is it smaller than a person?,no,yes,,,,,,,,
P087,instruments/whistle,materials/steel,Is it used by referees?,yes,no,,,,,,,,
P088,materials/steel,instruments/whistle,Does it make a loud sound when blown?,no,yes,,,,,,,,
P089,materials/steel,instruments/whistle,Is it used to build bridges?,yes,no,,,,,,,,
P090,materials/cotton,tools/whisk,Is it used for mixing batter?,no,yes,,,,,,,,
P091,tools/whisk,materials/cotton,Does it have a handle?,yes,no,,,,,,,,
P092,materials/cotton,tools/whisk,Can it be spun into thread?,yes,no,,,,,,,,
P093,tools/whisk,materials/cotton,Is it grown in fields?,no,yes,,,,,,,,
P094,tools/bolt,vehicles/bicycle,Is it used to fasten things together?,yes,no,,,,,,,,
P095,vehicles/bicycle,tools/bolt,Is it made as one solid piece?,no,yes,,,,,,,,
P096,vehicles/bicycle,tools/bolt,Does it have pedals?,yes,no,,,,,,,,
P097,tools/needle,vehicles/tractor,Does it have an engine?,no,yes,,,,,,,,
P098,vehicles/tractor,tools/needle,Can you drive it?,yes,no,,,,,,,,
